ROME9500,4963,Umanesimo/S. Eugenio,41.822685,12.472128,Quartiere XXXII Europa
ROME9593,4975,Lucrezia Romana/Pellaro,41.834267,12.576397,Zona XVIII Capannelle
ROME9351,5000,Piazza Dei Cinquecento,41.901299,12.50042,Municipio Roma I
ROME9355,5001,Nervi/Palazzo Sport,41.823818,12.466082,Quartiere XXXII Europa
ROME9356,5004,Agricoltura,41.836689,12.47142,Quartiere XXXII Europa
ROME9357,5013,Piazza Augusto Imperatore,41.905235,12.477285,Municipio Roma I
ROME9358,5015,Mancini,41.930969,12.46419,Quartiere I Flaminio
ROME9359,5016,Cornelia,41.904362,12.424915,Quartiere XXVII Primavalle
ROME9360,5019,Anagnina,41.842972,12.584973,Municipio Roma VII
ROME9361,5020,Arco Di Travertino,41.866749,12.536497,Quartiere VIII Tuscolano
ROME9362,5021,Clodio,41.918041,12.456313,Quartiere XV della Vittoria
ROME9363,5022,Laurentina,41.826874,12.480737,Quartiere XXXI Giuliano-Dalmata
ROME1,10001,Conca D'oro,41.938545,12.525913,Quartiere XVI Monte Sacro
ROME2,10002,Borgo Sant'angelo,41.903221,12.463745,Municipio Roma I
ROME3,10003,Cimitero Laurentino,41.76088,12.494687,Municipio Roma IX
ROME4,10004,San Giovanni,41.886021,12.510527,Quartiere VIII Tuscolano
ROME9602,10010,Staz.ne Tiburtina,41.90987,12.528813,Quartiere V Nomentano
ROME9615,10011,Staz.ne Tiburtina,41.909828,12.528752,Quartiere V Nomentano
ROME9614,10012,Staz.ne Tiburtina,41.909786,12.52868,Quartiere V Nomentano
ROME9613,10013,Staz.ne Tiburtina Mb,41.90976,12.528565,Quartiere V Nomentano
ROME9616,10014,Staz.ne Tiburtina,41.909737,12.52844,Quartiere V Nomentano
ROME9617,10015,Staz.ne Tiburtina,41.910416,12.529677,Quartiere V Nomentano
ROME9618,10016,Tiburtina/Castro Laurenziano,41.903942,12.520808,Quartiere VI Tiburtino
ROME9583,10017,Umanesimo/Urali,41.8232,12.470095,Quartiere XXXII Europa
ROME9701,10018,Staz.ne Tiburtina,41.910187,12.529195,Quartiere V Nomentano
ROME9509,10037,Brunetti,41.787811,12.49019,Municipio Roma IX
ROME5,20003,Rocca Cencia/Gioiosa Jonica,41.867584,12.689102,Zona XIV Borghesiana
ROME7,20006,Castel Porziano/Mariani,41.737614,12.372494,Zona XXX Castel Fusano
ROME9,20014,Gordiani/Amalfi,41.886406,12.554405,Quartiere VII Prenestino-Labicano
ROME10,20018,Cimitero Laurentino,41.760571,12.489053,Municipio Roma IX
ROME11,20022,Selva Candida/Rosso E.,41.937267,12.378068,Zona XLVIII Casalotti
ROME13,20027,Tradate/Bareggio,41.791451,12.329547,Zona XXXII Acilia Nord
ROME14,20028,Tiburtina/Lino Da Parma,41.93214,12.581147,Municipio Roma IV
ROME15,20029,Tiburtina/Tor Cervara,41.932732,12.588327,Municipio Roma IV
ROME16,20030,Tiburtina/Tivoli,41.932953,12.590991,Municipio Roma IV
ROME17,20033,Cimitero/V.le Uffici,42.008465,12.493485,Municipio Roma XV
ROME19,20037,Selva Candida/Basaluzzo,41.932186,12.376708,Zona XLVIII Casalotti
ROME20,20038,Selva Candida/Basaluzzo,41.932072,12.376887,Zona XLVIII Casalotti
ROME21,20040,Donna Olimpia/Fiorini,41.875229,12.4548,Quartiere XII Gianicolense
